539.6,Radiation Detectors: Physical Principles and Applications (Oxford Science Publications), C. F. G. Delaney; E. C. Finch, Oxford University Press,1992,,,Counters And Chambers; Radiation; Electronics; Semiconductor Electronics; Valve Circuits,Ex-Libris,Lol,Y
539.55,Cyclic Particle Accelerators,John J Livingood,D. Van Nostrand Company Inc.,1961,,,High Energy Physics; Cyclotrons; Linear Accelerators ; Orbit Stability,Ex-Libris,,Y
539.55,The Theory Of Elementary Particles,J. Hamilton,Oxford University Press,1961,,,High Energy Physics; Dirac Wave Equation; Polarization Analysis; Classical Fields; Boson Fields; Fermion Fields,Ex-Libris,,Y
539.55,Theory Of Cyclic Accelerators,A. A. Kolomensky ; A. N. Lebedev,North-Holland Publishing Co.,1966,,,High Energy Physics; Betatron Oscillatons; Synchrotron ; Peculiarities Of Accelerators,Ex-Libris,Translated From Russian By M. Barbier,Y
539.55,"Pct, Spin And Statistics, And All That",R. F. Streater; A. S. Wightman,W. A. Benjamin Inc. ,1964,,,Relativistic Quantum Field Theory ; Fourier Transforms; Hilbert Space; Field Theory; Pct Theorem,Ex-Libris,,Y
539.55,An Introduction To Elementary Particles,W. S. C. Williams,Academic Press,1961,,,High Energy Physics; Experimental Elementary Particle Physics; Field Theory; Angular Momentum; Wave Analysis; Beta Decay; Parity; Charge Conjugation,Ex-Libris,,Y
539.55,Particle Accelerators,J. Resenblatt,Meuthuen And Co.,1968,,,High Energy Physics; Particle Accelerators; Linear Accelerators; Cyclotron; Betatron Oscillations,Ex-Libris,Has Some Old Timely Photos ,Y
539.55,Proceedings Of The 1967 International Conference On Particles And Fields,C. R. Hagen ; G. Guralnik; V. A. Mathur; Et Al,Interscience,1967,,,High Energy Physics; Research Papers,Ex-Libris,,M
539.55,Intermediate Energy Nuclear Physics,W. O. Lock; D. F. Measday,Methuen And Co.,1970,,,High Energy Physics; Elementary Particles; Pct; Pion Interaction; Gamma Ray Interaction; Nucleon Nucleon Scattering; Lepton Interaction; Photon Interaction; Monte Carlo Simulation Of Reactions,Ex-Libris,Updated Version Of Methuen Monograph High Energy Nuclear Physics (Pocket Sized Book),Y
539.55,Problems In Particle Physics,A. N. Kamal,Mcgraw-Hill Publishing Co.,1966,,,High Energy Physics; Space Parity; Charge Conjugation; Pct; Beta Decay; Pi Meson Decay; Phase Shift Analysis; Spin,Ex-Libris,,Y
539.55,Hiperones Neutros Y Cargados,A. Battig,San Miguel De Tucuman,1955,,,High Energy Physics; Elementary Particles,Ex-Libris,"In Spanish, But The Layout On The Inside Is Quite Pleasing",M
