538,Electricity And Magnetism,B. I. Bleaney; B. Bleaney,Oxford Clarendon Press,1965,Second,,Electricity And Magnetism; Electrostatic; Steady Current; Electrical Conductors; Induction; Ac; Thermionic Vacuum Tubes; Noise; Dielectric Constant; Semiconductors; Paramagnetism; Ferromagnetism; Magnetic Resonance,Ex-Libris,,Y
538,Principles Of Electricity And Magnetism,Y. Rocard,Sir Isaac Pitman And Sons,1959,First,,Electricity And Magnetism; Electrostatistics; Magnetism; Electrokinetics; Electrodynamics; Ac; Free Electron; Electrolysis,Ex-Libris,,Y
538,Magnets,Louis W. Mckeehan,D. Van Nostrand Co.,1967,,,Electricity And Magnetism; Prehistoric Magnets; Magnetic Moments; Magnetic Circuit; Ferromagnetism; Magnetic Theory From Internal Phenomena,Ex-Libris,,Y
538,Magnetism and Electricity,E. Nightingale,G. Bel and Sons,1953,,,Electricity And Magnetism; Magnetic Fields; Electrostatics; Conductors; Current; Resistance; Induction,Paul Allen,,Y
538,Electromagnetism: Principles and Applications, Paul Lorrain; Dale Corson, W.H.Freeman & Co Ltd,1979, 1St Edition,,Electricity And Magnetism; Stationary Electric Charges; Direct Current; Dielectrics; Magnetic Field; Ac; Maxwells Equations,,,Y
538,Advanced Text Book Of Magnetism And Electricity,Robert W. Hutchinson,University Tutorial Press,1917,,,Electricity And Magnetism; Magnetism; Electrostatics; Induction; Atmosphere Electricity,Ex-Libris,,Y
538,Electricity And Magnetism,J. H. Fewkes; John Yarwood,University Tutorial Press,1956,,,Electricity And Magnetism; Direct Current; Ac; Dielectrics; Magnetism; Electrolysis; Thermoelectricity; Electromagnetic Radiation; Radio,Ex-Libris,,Y
538,Electricity And Magnetism,W. J. Duffin,Mcgraw-Hill Publishing Co.,1965,,,Electricity And Magnetism; Current; Force Between Charges; Coulombs Law; Potential Difference; Capacitance; Steady Electric Current; Magnetic Field; Conduction; Dielectrics; Magnetic Materials; Maxwells Equation,Ex-Libris,,Y
538,Theoretical Electromagnetism,R. H. Atkin,Heinemann,1962,,,Electricity And Magnetism; Electrostatics; Current; Electromagnetism; Maxwells Equations; Relativity,Ex-Libris,,Y
538,Electricity And Magnetism,Edward M. Purcell,Mcgraw-Hill Book Co.,1965,,,Electricity And Magnetism; Electrostatics; Electric Fields And Conductors; Current; Magnetic Field; Induction; Maxwells Equations; Ac; Dielectrics,Ex-Libris,,Y
538.1,The Earths Magnetism,Sydney Chapman,Metheun And Co.,1951,,,Magnetism; Transient Magnetic Variations; Lunar Daily Magnetic Variation; Morphology Of The Magnetic Disturbance Field; Solar Relations With Magnetic Disturbances,N. A. Porter,,Y
538.1,Geomagnetism,Sydney Chapman; Julius Bartels,Oxford Clarendon Press,1940,,2,Magnetism; Geomagnetic ; Harmonic Analysis; Spherical Harmonic Analysis; Main Field; Induction; Diamagnetic; Aurorae,Ex-Libris,,Y
538.1,Soft Magnetic Materials Used In Industry,A. E. De Barr,Institute Of Physics,1953,,,Magnetism; Hysteresis; Ferromagnetism; Silicon Iron Alloys; Nickel Iron Alloys; Soft Magnetic Materials,Ex-Libris,,Y
538.1,The Magnetic Circuit,A. E. De Barr,Institute Of Physics,1953,,,Magnetism; Magnetic Circuit; Magnetic Powder Cores; Ferrites; Permanent Magnets; Iron ; Nickel; Cobalt,Ex-Libris,,Y
538.1,Electrodynamics,Leigh Page; Norman Ilsley Adams,Chapman And Hall,1940,,,Magnetism; Three Dimensional Vector Analysis; Relativity; Electromagnetic Field; Force Equation; Stress; Momentum; Wave Motion; Radiation; Electromagnetic Theory Of Light; Four Dimensional Vector Analysis; Dynamical Methods,Ex-Libris,,Y
538.1,Modern Magnetism,L. F. Bates,Cambridge University Press,1951,Third,,Magnetism; Zeeman Effect; Magnetism; Magnetic Field; Isotropic Substances; Nuclear Spins; Magnetic Moments; Gyromagnetic Effect; Magnetic Saturation; Reversible Magnetization; Spin Interaction; Magnetostriction; Hysteresis Cycle,Ex-Libris,,Y
538.1,Pulsed High Magnetic Fields: Physical Effects and Generation Methods Concerning Pulsed Fields up to the Megaoersted Level, Heinz Knoepfel, North Holland,1970, 1st,,Magnetism; Quasistationary Magnetic Fields; Magnetic Diffusion; Pulsed Magnetic Field; Magnetic Pressure; Solenoidal Coils; Magnetic Flux Compression; Cylindrical Untrahigh Field Generators; Conductors,Ex-Libris,,Y
539.6,Nuclear Moments,H. Kopfermann; E. E. Schneider,Academic Press Inc,1958,,,Counters And Chambers; Hyperfine Structure; Isotope Shift; Nuclear Moments In Free Molecules; Resonance; Quadrupole Resonance; Paramagnetic Resonance; Nuclear Moments,Ex-Libris,,Y
538,Atomic Physics,John Yarwood,University Tutorial Press,1958,,2,Electricity And Magnetism; Electricity Conduction; Positive Ray Analysis; X-Ray Spectra; Wave Mechanics; Radioactivity; Particle Acceleration; Cosmic Rays; Fission; Radioactive Nuclides,Paul Allen,,Y
538,Principles Of Electric And Mangetic Measurements,P. Vigoureux; C. E. Webb,Blackie And Son,1936,,,Electricity And Magnetism; Electric Charges; Magnetic Field; Currents; Potentiometer; Network Of Conductors; Electrolysis; Induction; Thermionic Tube; X-Rays; Plancks Constant,,,Y
538,Advanced Laboratory Practice In Electricity And Magnetism,Earle Melvin Terry; Hugo Bernard Wahlin,Mcgraw-Hill Book Co.,1936,Third,,Electricity And Magnetism; Galvanometers; Resistance; Potential Difference; Current; Power; Capacitance; Magnetism; Inductance; Electromotive Force; Ac Bridges; Conduction; Photometer; Optical Pyrometer; Electron Tubes; Oscillators,Ex-Libris,Interesting Paper,Y
538,Electricity And Magnetism,Sydney G. Starling,"Longmans, Green And Co.",1946,Seventh,,Electricity And Magnetism; Magnetism; Current; Electrostatics; Electrolysis; Thermo Electricity; Electromagnetic; Varying Current; Radioactivity; Conduction In Gas; Atoms,B. F. Somerville,,Y
