IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
,Principles Of Mechanics,John L. Synge; Byron A. Griffith,Mcgraw-Hill Publishing Co.,1959,3,,Classical Mechanics; Kinematics; Vectors; Orbital Mechanics; Relativity,M. Hoey,,Y
,Matter and Motion (Library of Physical Science), Norman Feather, Penguin Books Ltd,1970, First Edition,,Classical Mechanics; Geometry; Gravitation; Relativity,Ex-Libris,,Y
,Theoretical Physics,F. Woodbridge Constant,Addison-Weslley Publishing Co.,1957,2,,Classical Mechanics; Vector Calculus; Vector Algebra; Dyadics; Wave Mechanics; Acoustics; Fluid Mechanics; Heat Flow,Ex-Libris,,Y
,Classical Mechanics,Herbert Goldstein,Addison-Weslley Publishing Co.,1950,,,Classical Mechanics; Lagrangian Mechanics; Kinematics; Special Relativity; Canonical Mechanics; Oscillations,Ex-Libris,,Y
,Mechanics: Berkeley Physics Course,Charles Kittel; Walter D. Knight; Malvin A. Ruderman,Mcgraw-Hill Publishing Co.,1965,4,1,Classical Mechanics; Vectors; Non-Relativistic Dynamics; Simple Harmonic Motion; Oscillations; Inverse Square Laws; Lorentz Transformations; Relativistic Dynamics,Ex-Libris,,Y
,Semi-Conductors,D. A. Wright,Meuthuen And Co.,1950,,,Electronics; Semiconductor Theory; Material Physics,L. Jacob,,Y
,Electronics: Experimental Techniques,William C. Elmore; Matthew Sands,Mcgraw-Hill Publishing Co.,9149,1,,Electronics; Electronic Instrumentation; Amplifier Circuits; Oscilloscopes,Ex-Libris,,Y
,Electrical Counting,W. B. Lewis,Cambridge University Press,1942,,,Electronics; Amplifier Circuits; Radiation Detectors; Geiger Muller Tubes; Counting Statistics,Ex-Libris,,Y
,Thermionic Valve Circuits,Emerys Williams,Sir Isaac Pitman And Sons Ltd.,1947,2,,Electronics; Valve Circuits; Amplifier Circuits; Oscillator Circuits,Kevin Carroll,,Y
,A Treatise On Electricity,F. B. Pidduck,Cambridge University Press,1925,2,,Electronics; Electricity; Mathematics; Magnetism; Electrostatics; Thermoelectricity; Induction; Electrolysis; Valve Circuits,T. E. Nevin,,Y
,Alternating Current Measurements At Audio And Radio Frequencies,David Owen,Meuthuen And Co.,1967,,,Electronics; Induction; Radio Physics; Radio Electronics,T. E. Nevin,,Y
,Wireless Receivers: The Principles Of Their Design,C. W. Oatley; O. W. Richardson,Meuthuen And Co.,1945,4,,Electronics; Triodes; Amplifier Circuits,T. E. Nevin,,Y
,The General Properties Of Matter,F. H. Newman; V. H. L. Searle,Edward Arnold Publishers Ltd.,1961,5,,Classical Mechanics; Gravitation; Gyroscopic Motion; Elasticity; Fluid Mechanics; Kinetic Theory; Fourier Series; Wave Mechanics,Peter Mitchill,,Y
,An Introduction to Classical Mechanics, ARYA, Pearson Education,,,,Classical Mechanics; Harmonic Oscillator; Oscillations; Gravitation; Lagrangian Mechanics; Hamiltonian Mechanics; Special Relativity,,Book Contains Floppy Disks,Y
,Classical Mechanics,Herbert Goldstein,Addison-Weslley Publishing Co.,1950,,,Classical Mechanics; Lagrangian Mechanics; Kinematics; Special Relativity; Hamiltonian Mechanics; Canonical Mechanics; Oscillations,Dermot Duggan,,Y
,A Shorter Intermediate Mechanics,D. Humphrey; J. Topping,Longmans Green And Co.,1962,2,,Classical Mechanics; Circular Motion; Projectile Motion; Simple Harmonic Motion; Geometry; Gas Theory; Fluid Mechanics,,,Y
