IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
539.8,Selected Topics in Field Quantization (Vol. 6 of Pauli Lectures on Physics), Wolfgang Pauli, MIT Press,1973, 1ST,6,Quantum Mechanics; Quantum Electrodynamics; Atomic Physics; Matrix Mechanics,,,Y
539.8,Quantum Mechanics,D. I. Blokhintsev,D. Reidel Publishing Co.,1964,,,Quantum Mechanics; Perturbation Theory; Quantum Dynamics; Field Theory,,,Y
539.8,Elementary Quantum Mechanics,R. W. Gurney,Cambridge University Press,1934,,,Quantum Mechanics; Wave Mechanics; Particle Physics; Perturbation Theory; Atomic Physics,Ex-Libris,,Y
539.8,Notes On The Quantum Theory Of Angular Momentum,Eugene Feenberg; George Edward Park,Stanford University Press,1953,,,Quantum Mechanics; Matrix Mechanics; Nuclear Physics; Atomic Physics,Ex-Libris,,Y
539.8,Relativistic Electron Theory,M. E. Rose,John Wiley & Sons,1961,,,Quantum Mechanics; Non-Relativistic Quantum Mechanics; Relativistic Quantum Mechanics; Electromagnetism; Particle Physics,,,Y
539.8,Microcomputer Quantum Mechanics, John Killingbeck, CRC Press,1985, 2 Sub,,Quantum Mechanics; Computational Physics; Matrix Mechanics,,,
539.8,Quantum Mechanics,L. D. Landau; E. M. Lifshitz,Pergamon Press,1958,,,Quantum Mechanics; Schrodingers Equation; Early Quantum Mechanics; Atomic Physics; Perturbation Theory; Molecular Physics; Mathematics,Ex-Libris,,Y
539.8,Classical Mechanics,D. E. Rutherford,Oliver And Boyd,1957,2,,Quantum Mechanics; Classical Mechanics; Generalized Co-Ordinates,Ex-Libris,,Y
539.8,Elementary Quantum Field Theory,Ernest M. Henley; Walter Thirring,Mcgraw-Hill Publishing Co.,1962,,,Quantum Mechanics; Quantum Field Theory; Harmonic Oscillator; Particle Physics; Nuclear Physics; Atomic Physics,,,Y
539.8,Quantum Chemistry (The Allyn and Bacon chemistry series), Ira N. Levine, Longman Higher Education,1983, 3rd,,Quantum Mechanics; Schrodingers Equation; Operators; Harmonic Oscillator; Atomic Physics; Perturbation Theory,,,Y
539.8,Aspects Of Quantum Theory,Abdus Salam; E. P. Wigner,Cambridge University Press,1972,,,Quantum Mechanics; Early Quantum Mechanics; Quantum Field Theory; Dirac Notation,Ex-Libris,,Y
539.8,The Self-Consistent Field For Molecules And Solids,John C. Slater,Mcgraw-Hill Publishing Co.,1974,,4,Quantum Mechanics; Material Physics; Crystallography; Chemistry; Wave Mechanics,Ex-Libris,,Y
539.8,Principles Of Quantum Mechanics,William V. Houston,Mcgraw-Hill Publishing Co.,1951,,,Quantum Mechanics; Early Quantum Mechanics; Spectroscopy; Scattering Theory; Electromagnetic Radiation,Ex-Libris,,Y
539.8,Radiation And Noise In Quantum Electronics,William H. Louisell,Mcgraw-Hill Publishing Co.,1964,,,Quantum Mechanics; Dirac Notation; Schrodingers Equation; Operators; Electromagnetism; Radiation; Quantum Statistics,Ex-Libris,,Y
539.8,Quantum Chemistry,Henery Eyring; John Walter; George E. Kimball,John Wiley & Sons,1949,5,,Quantum Mechanics; Early Quantum Mechanics; Classical Mechanics; Schrodingers Equation; Atomic Physics; Perturbation Theory; Group Theory; Spectroscopy; Quantum Statistics,Ex-Libris,,Y
539.8,Quantum Mechanics And Path Integrals,R. P. Feynman; A. R. Hibbs,Mcgraw-Hill Publishing Co.,1965,,,Quantum Mechanics; Schrodingers Equation; Operators; Perturbation Theory; Harmonic Oscillator; Quantum Electrodynamics; Statistical Mechanics,Ex-Libris,,Y
539.85,Elementary Wave Mechanics,W. Heitler,Oxford University Press,1958,2,,Wave Mechanics; Quantum Mechanics; Quantum Chemistry; Atomic Physics; Perturbation Theory; Molecular Physics; Chemistry,Michael Hoey,,Y
539.9,"The Evolution of Relativity,", Christopher Ray, CRC Press,1987, First,,Theory Of Relativity; General Relativity; Classical Relativity; Quantum Relativity,,,Y
,Special Relativity,A. Shadowitz,W. B. Saunders Co.,1968,,,Special Relativity; Lorentz Transformations; Electricity; Electromagnetism,Ex-Libris,,Y
539.9,Time And Space Weight And Inertia,A. D. Fokker,Pergamon Press,1965,,,Theory Of Relativity; Chronogeometry; Lorentz Transformations; Metric Tensors; Dynamical Tensors,Ex-Libris,,Y
