IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
 ,,,,,,,,,,
 539.55,Cern Symposium On High Energy Accelerators and Pion Physics,Multiple Authors,Cern Scientific Information Service,1956,,1,High Energy Physics; Particle Physics; Particle Accelerator Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,International Conference On High-Energy Accelerators And Instrumentation ,L. Kowarski; Et Al.,Cern Scientific Information Service,1959,,,High Energy Physics; Particle Physics; Particle Accelerator Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,1958 Annual International Conference On High Energy Physics At Cern,B. Ferretti; Et Al.,Cern Scientific Information Service,1958,,,High Energy Physics; Particle Physics; Particle Accelerator Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,"Superstrings, Unified Theories and Cosmology 1988: Trieste, Italy 27 June-5 August 1988 (I C T P Series in Theoretical Physics)", G. Ellis; J. C. Pati; S. Randjbar-Daemi; E. Sezgin; Q. Shafi, World Scientific Pub Co Inc,1989,,5,High Energy Physics; Theoretical Physics; String Theory; Particle Physics; Field Theory,,,Y
539.55,Superstrings 87: Proceedings Of The Trieste Spring School 1987,L. Alvarez-Gaume; M. B. Green; M. T. Grisaru; R. Iengo; E. Sezgin,World Scientific Publishing Co.,1987,,,High Energy Physics; Theoretical Physics; String Theory; Particle Physics; Mathematics,Nuclear Energy Board Of Ireland,,Y
539.55,"High energy physics; (Physics paperbacks, 10)", Vladislav Simak, Iliffe,1968,,,High Energy Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y
,Tynrtdew,,,,,,Quantum Mechanics; Particle Physics,,,
539.55,Gamma-Ray Astrophysics,Carl E. Fichtel; Jacob I. Trombka,NASA Center For Aerospace Information,1996,,,High Energy Physics; Astrophysics; Astronomy; Solar System Astronomy; Galactic Astronomy; Gamma-Ray Bursts; Gamma-Ray Detection,Ex-Libris,,Y
539.55,The Acceleration Of Particles To High Energies,Multiple Authors,London Institute Of Physics,1950,,,High Energy Physics; Particle Physics; Particle Accelerator Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,The Transport Of Charged Particle Beams,A. P. Banford,E. And F. N. Spon Ltd.,1966,,,High Energy Physics; Particle Physics; Particle Accelerator Physics; Mathematics; Quantum Mechanics,Ex-Libris,,Y
539.55,Nuclear Physics In Photographs,C. F. Powell; G. P. S. Occhialini,Oxford University Press,1947,,,High Energy Physics; Nuclear Physics; Atomic Physics; Particle Physics,,,Y
539.55,Superstrings 88: Proceedings Of The Trieste Spring School 1988,M. Green; M. Grisaru; R. Lengo; E. Sezgin; A. Strominger,World Scientific Publishing Co.,1988,,,High Energy Physics; Theoretical Physics; String Theory; Mathematics,Nuclear Energy Board Ireland,,Y
539.55,Mandelstam Theory And Regge Poles,R. Omnes; M. Froissart,W. A. Benjamin Inc.,1963,,,High Energy Physics; Particle Physics; Wave Mechanics; Quantum Mechanics; Relativity,Ex-Libris,,Y
539.55,Interactions Of Hadrons,Hartmut Pilkuhn,North-Holland Publishing Co.,1967,,,High Energy Physics; Particle ; Particle Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,Neutrino 75: Iupap Conference,A. Frenkel; G. Marx,The Hungarian Physical Society,1975,,1,High Energy Physics; Particle Physics; Research Papers; Quantum Mechanics,,,Y
539.55,Techniques Of High Energy Physics,David M. Ritson; Et Al.,Interscience Publishers,1961,,5,High Energy Physics; Particle Physics; Radiation; Particle Accelerator Physics; Electronics; Radiation Detectors,Ex-Libris,,Y
539.55,Hadron Structure As Known From Electromagnetic And Strong Interactions,S. Dubnicka; Et Al.,Veda Publishing,1979,,4,High Energy Physics; Particle Physics; Quantum Mechanics; Quantum Field Theory,,,Y
