IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1961,,1,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1963,,2,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1965,,4,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1966,,5,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1967,,6,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1969,,7,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1970,,8,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1971,,9,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1972,,10,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1973,,11,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1974,,12,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
535,Progress In Optics,E. Wolf; Et Al.,North-Holland Publishing Co.,1976,,13,Sound; Optics; Wave Mechanics,Ex-Libris,Ml:536.1,Y
536.1,Wave Optics: Interference And Diffration,C. Curry,Edward Arnold Publishers Ltd.,1957,,,Optics; Wave Mechanics; Diffraction,Ex-Libris,,Y
536,Light,R. W. Ditchburn,Blackie And Sons Ltd.,1963,2,,Light; Wave Mechanics; Optics; Diffraction; Interferometers; Electromagnetic Radiation; Relativistic Optics; Quantum Mechanics,Ex-Libris,,Y
536,Introduction To Atomic Spectra,Harvey Elliott White,Mcgraw-Hill Publishing Co.,1934,,,Light; Optics; Atomic Physics; Atomic Spectra; Quantum Mechanics; Wave Mechanics; Schrodingers Equation; Zeeman Effect,,,Y
536,Light For Students,Edwin Edser,Mcgraw-Hill Publishing Co.,1931,,,Light; Optics; Diffraction; Optical Instrumentation; Electromagnetic Radiation; Polarizer,Ex-Libris,,Y
536,Practical Microscopy,L. C. Martin; B. K. Johnson,Blackie And Sons Ltd.,1946,1,,Light; Optic; Optics; Polarizer,Ex-Libris,,Y
536,Essentials Of Light,F. J. H. Dibdin,Cleaver-Hume Press Ltd.,1961,1,,Light; Optics; Optical Instrumentation; Wave Mechanics; Interference ; Diffraction; Polarization,,,Y
536,A Text-Book Of Light,G. R. Noakes,Macmillan And Co.,1946,,,Light; Optics; Photometry; Wave Mechanics; Optical Instrumentation; Interference ; Diffraction,L. Jacob,,Y
536,Polarized Light,William A. Shurcliff; Stanley S. Ballard,D. Van Nostrand Co.,1964,,,Light; Optics; Polarization; Mathematics,Ex-Libris,,Y
536,Polarized Light,Multiple Authors,American Association Of Physics Teachers,1961,,,Light; Polarization; Research Papers; Optics,,,Y
536,Light,A. E. E. Mckenzie,Cambridge University Press,1950,,,Light; Optics; Wave Mechanics; Optical Instrumentation; Photometry,Paul Allen,,Y
536.3,Physical Optics,Robert W. Wood,Dover Publications,1961,3,,Microwave Spectroscopy; Optics; Optical Instrumentation; Atomic Spectra; Interference; Polarization; Spectroscopy; Meteorology; Scattering Theory; Magneto-Optics,,,Y
536,Light,R. W. Ditchburn,Blackie And Sons Ltd.,1952,,,Light; Optics; Wave Mechanics; Simple Harmonic Motion; Relativity; Interference; Diffraction; Huygens Principle; Optical Instrumentation; Interferometers; Relativistic Optics; Polarization; Electromagnetic Radiation; Quantum Mechanics,Ex-Libris,,Y
535.55,Meson Physics,Robert E. Marshak,Mcgraw-Hill Publishing Co.,1952,,,Unknown; Particle Physics; Nuclear Physics; Atomic Physics; Quantum Mechanics,Ex-Libris,Ml:?,Y
536.1,Laser Interaction And Related Plasma Phenomena,Helmut J. Schwarz; Heinrich Hora,Plenum Press,1971,,,Optics; Research Papers; Laser Physics; Plasma Physics; Thermonuclear Fusion,Ex-Libris,,Y
536.1,Laser Interaction And Related Plasma Phenomena 2,Helmut J. Schwarz; Heinrich Hora,Plenum Press,1972,,,Optics; Research Papers; Laser Physics; Plasma Physics; Gas Theory,Ex-Libris,,Y
536,The Velocity Of Light And Radio Waves,K. D. Froome; L. Essen,Academic Press,1969,,,Light; Electromagnetic Radiation; Optics; Laser Physics; Interferometery; Optical Instrumentation,Ex-Libris,,Y
536.3,Optical Coherence Theroy: Recent Development,G. J. Troup,Meuthuen And Co.,1967,,,Microwave Spectroscopy; Optics; Optical Coherence; Holograpy,Ex-Libris,Ml:?,Y
536.3,Theory Of Particle Coherence,Mark J. Beran; George B. Parrent Jr.,Prentice-Hall,1964,,,Microwave Spectroscopy; Mathematics; Electromagnetic Radiation; Polarization; Interferometery,Ex-Libris,,Y
